corridor_id,length_ft,income,share_poc,poverty_rate,borough,treatment_cohort,first_protected_year,cyclist_injured,n_segments,is_protected,length_mi,income_q,poc_q
CLEARVIEW EXPRESSWAY|4|-1|0,26.504283515267087,100176.0,0.4526123936816525,0.04678007290400972,Queens,never_treated,,0.0,1,False,0.005019750665770282,Q3,Q2
CLERMONT AV|3|-1|0,4309.925925304537,145405.86485186964,0.4589454905620486,0.07370406007770035,Brooklyn,never_treated,,21.0,6,False,0.8162738494894956,Q5 highest,Q2
CLERMONT AV|3|-1|1,634.4612505495126,88215.14400959494,0.7308999428018476,0.12384211940567597,Brooklyn,never_treated,,1.0,1,False,0.12016311563437738,Q3,Q3
CLERMONT AV|3|2018|0,115.02936262639562,116841.99999999999,0.5280821917808219,0.10833333333333332,Brooklyn,switcher,2018,0.0,4,True,0.02178586413378705,Q4,Q3
CLEVELAND PLACE|1|2023|0,873.7346610973816,137062.18947045092,0.3738315502798242,0.11412941130231137,Manhattan,switcher,2023,5.0,3,True,0.16548004945026168,Q4,Q2
CLINTON ST|1|-1|0,1494.1414768182005,40147.49672575326,0.7134572025035878,0.27965572141371237,Manhattan,never_treated,,29.0,7,False,0.28298134030647737,Q1 lowest,Q3
CLINTON ST|1|2012|0,697.7934545813154,46615.00000000001,0.7318928788800974,0.2879756468797565,Manhattan,always_treated,2012,3.0,4,True,0.13215785124646123,Q1 lowest,Q3
CLINTON ST|1|2015|0,2092.6877697588134,53085.243397134516,0.7322413590188601,0.34696894080191376,Manhattan,switcher,2015,11.0,18,True,0.3963423806361389,Q2,Q3
CLINTON ST|3|-1|0,1966.8651352850939,114296.5952116864,0.5812729389666216,0.10476528459438911,Brooklyn,never_treated,,10.0,20,False,0.3725123362282375,Q4,Q3
CLINTON ST|3|-1|1,9478.587571037759,185972.30914236882,0.25538546790316685,0.041319334882210915,Brooklyn,never_treated,,47.0,30,False,1.7951870399692724,Q5 highest,Q1 least POC
