geoid,ALAND,GEO_ID,median_household_income,pop_total,pop_white_nh,pop_black_nh,pop_asian_nh,pop_hispanic,poverty_universe,pop_below_poverty,county_fips,borough,share_white_nh,share_black_nh,share_hispanic,share_asian_nh,share_poc,poverty_rate,protected_ft,income_q,poc_q
36081027302,116613,1400000US36081027302,52404.0,4390.0,145.0,597.0,694.0,2954.0,4381.0,783.0,081,Queens,0.03302961275626424,0.1359908883826879,0.6728929384965832,0.1580865603644647,0.9669703872437357,0.17872631819219356,520.3472458732525,Q1 lowest,Q4
36081040902,81604,1400000US36081040902,70104.0,3573.0,57.0,56.0,0.0,3418.0,3543.0,425.0,081,Queens,0.01595298068849706,0.0156731038343129,0.9566190876014553,0.0,0.984047019311503,0.11995484053062376,0.0,Q2,Q5 most POC
36081043900,164750,1400000US36081043900,69919.0,3209.0,180.0,68.0,177.0,2784.0,3189.0,667.0,081,Queens,0.056092240573387346,0.021190401994390776,0.8675599875350577,0.05515736989716422,0.9439077594266126,0.20915647538413296,0.0,Q2,Q4
36081044000,378559,1400000US36081044000,56518.0,3986.0,68.0,2012.0,658.0,917.0,3985.0,406.0,081,Queens,0.017059708981435023,0.5047666833918716,0.23005519317611642,0.16507777220270947,0.982940291018565,0.10188205771643664,0.0,Q2,Q5 most POC
36081044601,224776,1400000US36081044601,52653.0,3796.0,45.0,1239.0,889.0,1362.0,3774.0,673.0,081,Queens,0.01185458377239199,0.32639620653319285,0.3587987355110643,0.23419388830347734,0.988145416227608,0.17832538420773714,0.0,Q2,Q5 most POC
36081007500,129226,1400000US36081007500,82838.0,4427.0,1979.0,81.0,804.0,1177.0,4404.0,378.0,081,Queens,0.4470295911452451,0.018296814998870568,0.265868533995934,0.1816128303591597,0.5529704088547549,0.08583106267029973,1963.7956375395172,Q3,Q2
36081006300,212500,1400000US36081006300,114783.0,5712.0,2990.0,112.0,1382.0,883.0,5712.0,449.0,081,Queens,0.5234593837535014,0.0196078431372549,0.15458683473389356,0.2419467787114846,0.47654061624649857,0.07860644257703081,0.0,Q5 highest,Q2
36081007100,195064,1400000US36081007100,114917.0,3159.0,1345.0,142.0,439.0,742.0,3110.0,344.0,081,Queens,0.4257676479898702,0.04495093383982273,0.23488445710667932,0.13896802785691675,0.5742323520101298,0.11061093247588424,770.6882210627916,Q5 highest,Q2
36081010000,223353,1400000US36081010000,112390.0,3225.0,454.0,89.0,1328.0,625.0,3225.0,353.0,081,Queens,0.1407751937984496,0.027596899224806203,0.1937984496124031,0.4117829457364341,0.8592248062015504,0.10945736434108527,0.0,Q5 highest,Q3
36081010300,250464,1400000US36081010300,76118.0,4305.0,2579.0,124.0,377.0,924.0,4305.0,572.0,081,Queens,0.5990708478513357,0.028803716608594657,0.2146341463414634,0.0875725900116144,0.4009291521486643,0.13286875725900116,0.0,Q3,Q2
36081010500,198021,1400000US36081010500,61589.0,5309.0,2215.0,535.0,750.0,1530.0,5309.0,1008.0,081,Queens,0.41721604822000374,0.10077227349783387,0.2881898662648333,0.14126954228668298,0.5827839517799962,0.18986626483330193,968.1400379181622,Q2,Q2
36081010600,173008,1400000US36081010600,112083.0,3454.0,76.0,261.0,1284.0,533.0,3454.0,410.0,081,Queens,0.022003474232773594,0.07556456282570932,0.15431383902721482,0.3717429067747539,0.9779965257672264,0.11870295309785756,0.0,Q5 highest,Q5 most POC
36081011000,165043,1400000US36081011000,81563.0,3146.0,211.0,301.0,757.0,1149.0,3140.0,496.0,081,Queens,0.06706929434202162,0.09567705022250476,0.3652256834075016,0.24062301335028607,0.9329307056579784,0.15796178343949044,0.0,Q3,Q4
36081011200,189192,1400000US36081011200,64741.0,2522.0,394.0,60.0,1034.0,585.0,2501.0,416.0,081,Queens,0.15622521808088818,0.023790642347343377,0.23195876288659795,0.4099920697858842,0.8437747819191118,0.16633346661335466,0.0,Q2,Q3
36081011300,178676,1400000US36081011300,94300.0,4466.0,2403.0,178.0,388.0,1297.0,4460.0,465.0,081,Queens,0.5380653828929691,0.039856695029108824,0.2904164800716525,0.08687863860277653,0.4619346171070309,0.10426008968609865,0.0,Q4,Q2
36081010200,213860,1400000US36081010200,99265.0,2772.0,48.0,301.0,1471.0,292.0,2769.0,352.0,081,Queens,0.017316017316017316,0.10858585858585859,0.10533910533910534,0.5306637806637806,0.9826839826839827,0.12712170458649333,0.0,Q4,Q5 most POC
36081011500,185559,1400000US36081011500,106458.0,2389.0,1576.0,191.0,124.0,385.0,2389.0,233.0,081,Queens,0.6596902469652575,0.07994976977814985,0.16115529510255336,0.05190456257848472,0.34030975303474253,0.09753034742570113,0.0,Q4,Q1 least POC
36081011700,212827,1400000US36081011700,114797.0,3942.0,2474.0,31.0,285.0,1067.0,3942.0,453.0,081,Queens,0.6276002029426687,0.007864028411973617,0.2706747843734145,0.07229832572298325,0.3723997970573313,0.11491628614916286,0.0,Q5 highest,Q1 least POC
36081011800,157091,1400000US36081011800,81628.0,2826.0,84.0,135.0,1233.0,1027.0,2826.0,325.0,081,Queens,0.029723991507430998,0.04777070063694268,0.3634111818825195,0.43630573248407645,0.970276008492569,0.11500353857041755,0.0,Q3,Q4
36081012200,210185,1400000US36081012200,89063.0,3376.0,499.0,244.0,1104.0,1176.0,3341.0,449.0,081,Queens,0.1478080568720379,0.07227488151658767,0.34834123222748814,0.32701421800947866,0.8521919431279621,0.1343909009278659,0.0,Q4,Q3
36081012301,591516,1400000US36081012301,115735.0,3107.0,2017.0,238.0,130.0,636.0,3107.0,140.0,081,Queens,0.649179272610235,0.0766012230447377,0.2046990666237528,0.04184100418410042,0.350820727389765,0.04505954296749276,264.783267504265,Q5 highest,Q1 least POC
36081012400,197659,1400000US36081012400,84219.0,3287.0,130.0,860.0,916.0,1028.0,3287.0,259.0,081,Queens,0.039549741405536964,0.26163675083662913,0.3127471858837846,0.2786735625190143,0.960450258594463,0.07879525403103134,0.0,Q3,Q4
36081012602,148974,1400000US36081012602,78537.0,2450.0,167.0,11.0,824.0,1104.0,2450.0,274.0,081,Queens,0.06816326530612245,0.004489795918367347,0.4506122448979592,0.3363265306122449,0.9318367346938775,0.11183673469387755,0.0,Q3,Q4
36081013200,192356,1400000US36081013200,76250.0,1850.0,711.0,128.0,432.0,551.0,1850.0,267.0,081,Queens,0.38432432432432434,0.06918918918918919,0.29783783783783785,0.23351351351351352,0.6156756756756756,0.14432432432432432,0.0,Q3,Q2
36081013400,190806,1400000US36081013400,79722.0,5462.0,2102.0,545.0,972.0,1290.0,5416.0,596.0,081,Queens,0.3848407176858294,0.09978030025631637,0.2361772244599048,0.1779567923837422,0.6151592823141706,0.11004431314623338,0.0,Q3,Q2
36081013500,135758,1400000US36081013500,97167.0,1120.0,957.0,5.0,47.0,111.0,1120.0,85.0,081,Queens,0.8544642857142857,0.004464285714285714,0.09910714285714285,0.04196428571428571,0.14553571428571432,0.07589285714285714,0.0,Q4,Q1 least POC
36081013600,151408,1400000US36081013600,79968.0,2009.0,963.0,135.0,262.0,551.0,2009.0,90.0,081,Queens,0.4793429566948731,0.06719761075161772,0.27426580388252864,0.13041314086610253,0.520657043305127,0.04479840716774515,0.0,Q3,Q2
36081013700,199933,1400000US36081013700,113708.0,1961.0,1351.0,0.0,121.0,390.0,1961.0,68.0,081,Queens,0.688934217236104,0.0,0.1988781234064253,0.06170321264660887,0.31106578276389596,0.03467618561958185,0.0,Q5 highest,Q1 least POC
36081013800,169755,1400000US36081013800,100833.0,4029.0,1446.0,388.0,1191.0,804.0,4025.0,385.0,081,Queens,0.35889798957557706,0.0963018118639861,0.19955323901712585,0.2956068503350707,0.6411020104244229,0.09565217391304348,0.0,Q4,Q3
36081014000,222107,1400000US36081014000,109042.0,3683.0,2198.0,85.0,639.0,523.0,3660.0,253.0,081,Queens,0.5967960901439044,0.02307901167526473,0.14200380124898182,0.1734998642411078,0.40320390985609555,0.06912568306010929,0.0,Q4,Q2
36081014202,618133,1400000US36081014202,63986.0,2965.0,219.0,273.0,551.0,1521.0,2559.0,560.0,081,Queens,0.07386172006745363,0.09207419898819562,0.5129848229342328,0.18583473861720068,0.9261382799325464,0.21883548261039468,0.0,Q2,Q4
36081014500,127743,1400000US36081014500,78750.0,2350.0,1492.0,51.0,132.0,410.0,2350.0,242.0,081,Queens,0.6348936170212766,0.02170212765957447,0.17446808510638298,0.05617021276595745,0.36510638297872344,0.10297872340425532,0.0,Q3,Q1 least POC
36081015000,147117,1400000US36081015000,112900.0,2404.0,103.0,444.0,904.0,411.0,2404.0,300.0,081,Queens,0.04284525790349417,0.18469217970049917,0.17096505823627287,0.37603993344425957,0.9571547420965059,0.12479201331114809,0.0,Q5 highest,Q4
36081015200,185295,1400000US36081015200,80787.0,2661.0,42.0,343.0,771.0,551.0,2647.0,228.0,081,Queens,0.015783540022547914,0.1288989101841413,0.20706501315295,0.2897406989853439,0.9842164599774521,0.08613524744994333,0.0,Q3,Q5 most POC
36081015400,150144,1400000US36081015400,89940.0,1949.0,108.0,300.0,651.0,266.0,1934.0,205.0,081,Queens,0.055413032324268856,0.1539250897896357,0.13648024628014366,0.3340174448435095,0.9445869676757311,0.10599793174767322,0.0,Q4,Q4
36081015500,147508,1400000US36081015500,103971.0,1976.0,1032.0,37.0,545.0,322.0,1976.0,68.0,081,Queens,0.5222672064777328,0.018724696356275303,0.16295546558704455,0.2758097165991903,0.47773279352226716,0.03441295546558704,0.0,Q4,Q2
36081015600,209476,1400000US36081015600,78750.0,2798.0,68.0,418.0,1125.0,371.0,2798.0,361.0,081,Queens,0.024303073624017155,0.14939242315939957,0.13259471050750535,0.4020729092208721,0.9756969263759828,0.1290207290922087,0.0,Q3,Q5 most POC
36081015700,128464,1400000US36081015700,68277.0,1341.0,474.0,44.0,197.0,589.0,1341.0,140.0,081,Queens,0.3534675615212528,0.03281133482475764,0.43922445935868754,0.14690529455630127,0.6465324384787472,0.10439970171513796,1156.9505843361283,Q2,Q3
36081014700,147950,1400000US36081014700,76875.0,2969.0,1595.0,175.0,278.0,793.0,2968.0,171.0,081,Queens,0.5372179184910745,0.05894240485011788,0.2670932974065342,0.09363422027618727,0.4627820815089255,0.05761455525606469,0.0,Q3,Q2
36081014800,157056,1400000US36081014800,,1613.0,0.0,297.0,754.0,391.0,1595.0,167.0,081,Queens,0.0,0.18412895226286422,0.24240545567265964,0.46745195288282704,1.0,0.10470219435736677,0.0,,Q5 most POC
36081014900,106596,1400000US36081014900,64635.0,2240.0,1228.0,0.0,254.0,731.0,2240.0,274.0,081,Queens,0.5482142857142858,0.0,0.3263392857142857,0.11339285714285714,0.45178571428571423,0.12232142857142857,0.0,Q2,Q2
36081018502,98394,1400000US36081018502,111875.0,3078.0,1563.0,88.0,631.0,689.0,3078.0,249.0,081,Queens,0.5077972709551657,0.028589993502274202,0.22384665367121506,0.20500324886289797,0.4922027290448343,0.08089668615984405,0.0,Q4,Q2
36081016300,218241,1400000US36081016300,40313.0,4169.0,667.0,631.0,566.0,2285.0,4169.0,766.0,081,Queens,0.1599904053729911,0.1513552410650036,0.5480930678819861,0.13576397217558167,0.8400095946270089,0.1837371072199568,936.0810978193206,Q1 lowest,Q3
36081016600,202882,1400000US36081016600,66715.0,4127.0,124.0,394.0,1219.0,905.0,4121.0,325.0,081,Queens,0.030046038284468137,0.09546886358129392,0.21928761812454567,0.29537194087715046,0.9699539617155318,0.07886435331230283,0.0,Q2,Q4
